code,country
cmn,Mandarin Chinese
spa,Spanish
eng,English
rus,Russian
arb,Standard Arabic
ben,Bengali
hin,Hindi
por,Portuguese
ind,Indonesian
jpn,Japanese
fra,French
deu,German
jav,Javanese
kor,Korean
tel,Telugu
vie,Vietnamese
mar,Marathi
ita,Italian
tam,Tamil
tur,Turkish
urd,Urdu
guj,Gujarati
pol,Polish
ukr,Ukrainian
fas,Persian
kan,Kannada
mai,Maithili
mal,Malayalam
mya,Burmese
ori,Oriya (macrolanguage)
gax,Borana-Arsi-Guji Oromo
swh,Swahili (individual language)
sun,Sundanese
ron,Romanian
pan,Panjabi
bho,Bhojpuri
amh,Amharic
hau,Hausa
fuv,Nigerian Fulfulde
bos,Bosnian (Cyrillic)
bos,Bosnian (Latin)
hrv,Croatian
nld,Dutch
srp,Serbian (Cyrillic)
srp,Serbian (Latin)
tha,Thai
ckb,Central Kurdish
yor,Yoruba
uzn,Northern Uzbek (Cyrillic)
uzn,Northern Uzbek (Latin)
zlm,Malay (individual language) (Arabic)
zlm,Malay (individual language) (Latin)
ibo,Igbo
nep,Nepali (macrolanguage)
ceb,Cebuano
skr,Saraiki
tgl,Tagalog
hun,Hungarian
azj,North Azerbaijani (Cyrillic)
azj,North Azerbaijani (Latin)
sin,Sinhala
koi,Komi-Permyak
ell,Modern Greek (1453-)
ces,Czech
run,Rundi
bel,Belarusian
plt,Plateau Malagasy
qug,Chimborazo Highland Quichua
mad,Madurese
nya,Nyanja
zyb,Yongbei Zhuang
pbu,Northern Pashto
kin,Kinyarwanda
zul,Zulu
bul,Bulgarian
swe,Swedish
lin,Lingala
som,Somali
hms,Southern Qiandong Miao
hnj,Hmong Njua
ilo,Iloko
kaz,Kazakh
uig,Uighur (Arabic)
uig,Uighur (Latin)
hat,Haitian
khm,Khmer
aka,Akan
hil,Hiligaynon
sna,Shona
tat,Tatar
xho,Xhosa
hye,Armenian
min,Minangkabau
afr,Afrikaans
lua,Luba-Lulua
sat,Santali
bod,Tibetan
tir,Tigrinya
fin,Finnish
slk,Slovak
tuk,Turkmen (Cyrillic)
tuk,Turkmen (Latin)
dan,Danish
nob,Norwegian Bokmål
suk,Sukuma
als,Tosk Albanian
sag,Sango
nno,Norwegian Nynorsk
heb,Hebrew
mos,Mossi
tgk,Tajik
cat,Catalan
sot,Southern Sotho
kat,Georgian
bcl,Central Bikol
glg,Galician
lao,Lao
lit,Lithuanian
umb,Umbundu
tsn,Tswana
vec,Venetian
nso,Pedi
ban,Balinese
bug,Buginese
knc,Central Kanuri
kng,Koongo
ibb,Ibibio
lug,Ganda
ace,Achinese
bam,Bambara
tzm,Central Atlas Tamazight
ydd,Eastern Yiddish
kmb,Kimbundu
lun,Lunda
shn,Shan
war,Waray (Philippines)
dyu,Dyula
wol,Wolof
kir,Kirghiz
nds,Low German
fuf,Pular
mkd,Macedonian
vmw,Makhuwa
zgh,Standard Moroccan Tamazight
ewe,Ewe
khk,Halh Mongolian
slv,Slovenian
ayr,Central Aymara
bem,Bemba (Zambia)
emk,Eastern Maninkakan
bci,Baoulé
bum,Bulu (Cameroon)
epo,Esperanto
pam,Pampanga
tiv,Tiv
tpi,Tok Pisin
ven,Venda
ssw,Swati
nyn,Nyankole
kbd,Kabardian
iii,Sichuan Yi
yao,Yao
lav,Latvian
quz,Cusco Quechua
src,Logudorese Sardinian
sco,Scots
tso,Tsonga
rmy,Vlax Romani
men,Mende (Sierra Leone)
fon,Fon
nhn,Central Nahuatl
dip,Northeastern Dinka
kde,Makonde
snn,Siona
kbp,Kabiyè
tem,Timne
toi,Tonga (Zambia)
est,Estonian
snk,Soninke
cjk,Chokwe
ada,Adangme
aii,Assyrian Neo-Aramaic
quy,Ayacucho Quechua
rmn,Balkan Romani
bin,Bini
gaa,Ga
ndo,Ndonga
nym,Nyamwezi
sus,Susu
tly,Talysh
srr,Serer
kha,Khasi
hea,Northern Qiandong Miao
gkp,Guinea Kpelle
hni,Hani
fry,Western Frisian
yua,Yucateco
fij,Fijian
fur,Friulian
tet,Tetum
wln,Walloon
eus,Basque
oss,Ossetian
nbl,South Ndebele
pov,Upper Guinea Crioulo
cym,Welsh
lus,Lushai
dag,Dagbani
dga,Southern Dagaare
bre,Breton
kek,Kekchí
lij,Ligurian
pcd,Picard
roh,Romansh
bfa,Bari
kri,Krio
cnh,Hakha Chin
lob,Lobi
arn,Mapudungun
bba,Baatonum
dzo,Dzongkha
kea,Kabuverdianu
sah,Yakut
smo,Samoan
koo,Konzo
nzi,Nzima
maz,Central Mazahua
pis,Pijin
ctd,Tedim Chin
cos,Corsican
ltz,Luxembourgish
lia,West-Central Limba
mlt,Maltese
hna,Mina (Cameroon)
zdj,Ngazidja Comorian
guc,Wayuu
qwh,Huaylas Ancash Quechua
quc,K'iche'
div,Dhivehi
isl,Icelandic
kqn,Kaonde
pap,Papiamento
gle,Irish
dyo,Jola-Fonyi
hns,Caribbean Hindustani
gjn,Gonja
njo,Ao Naga
hus,Huastec
mag,Magahi
xsm,Kasem
ote,Mezquital Otomi
qxn,Northern Conchucos Ancash Quechua
tyv,Tuvinian
gag,Gagauz
san,Sanskrit
shk,Shilluk
nba,Nyemba
miq,Mískito
mam,Mam
tah,Tahitian
nav,Navajo
ami,Amis
lot,Otuho
cak,Kaqchikel
tzh,Tzeltal
tzo,Tzotzil
lns,Lamnso'
ton,Tonga (Tonga Islands)
tbz,Ditammari
lad,Ladino
vai,Vai
mto,Totontepec Mixe
ady,Adyghe
abk,Abkhazian
ast,Asturian
tsz,Purepecha
swb,Maore Comorian
cab,Garifuna
krl,Karelian
zam,Miahuatlán Zapotec
top,Papantla Totonac
cha,Chamorro
crs,Seselwa Creole French
ddn,Dendi (Benin)
loz,Lozi
mri,Maori
hsb,Upper Sorbian
cri,Sãotomense
pbb,Páez
alt,Southern Altai
qva,Ambo-Pasco Quechua
mxv,Metlatónoc Mixtec
gla,Scottish Gaelic
kjh,Khakas
csw,Swampy Cree
qvm,Margos-Yarowilca-Lauricocha Quechua
fao,Faroese
kal,Kalaallisut
cni,Asháninka
chk,Chuukese
mah,Marshallese
rar,Rarotongan
evn,Evenki
qvn,North Junín Quechua
wwa,Waama
buc,Bushi
qvh,Huamalíes-Dos de Mayo Huánuco Quechua
toj,Tojolabal
lue,Luvale
qvc,Cajamarca Quechua
ojb,Northwestern Ojibwa
jiv,Shuar
qud,Calderón Highland Quichua
lld,Ladin
hlt,Matu Chin
que,Quechua
pon,Pohnpeian
agr,Aguaruna
qxa,Chiquián Ancash Quechua
quh,South Bolivian Quechua
tca,Ticuna
chj,Ojitlán Chinantec
ike,Eastern Canadian Inuktitut
kwi,Awa-Cuaiquer
rgn,Romagnol
oki,Okiek
tob,Toba
guu,Yanomamö
qxu,Arequipa-La Unión Quechua
pau,Palauan
shp,Shipibo-Conibo
gld,Nanai
gug,Paraguayan Guaraní
mzi,Ixcatlán Mazatec
cjs,Shor
mic,Mi'kmaq
haw,Hawaiian
eve,Even
yap,Yapese
cbt,Chayahuita
ame,Yanesha'
